# wx wy wz w Lxx Lyy Lzz  
4.4855860640079272E-003  -5.4639037491725001E-003   9.4468365919436401E-004   7.1321212646583820E-003   128.90920828152528       -1017.9638858173552       -35.947572567665375     
   9.0166773096635594E-003   2.5816475127298818E-003   4.7216089427096356E-003   1.0500426876773232E-002  -12.323774644348287        225.75204466674671        242.87591244562111     
   2.6798002787620546E-003   6.1225772687750583E-004   1.9482597278802773E-002   1.9675563163126682E-002   137.99276035078387        37.992843459005137        787.76465380533625     
   1.2516933129119672E-002   5.6681698725619296E-003  -1.5176320287662684E-002   2.0472480605358851E-002   73.987000395829867       -5.0772386723475806       -377.62898587328414     
   4.9095336980193825E-003   7.1008599159923420E-003  -8.4681351053244053E-003   1.2092768286896191E-002  -169.27499362594142        490.52436984628696       -643.17399315271211     
  -2.1873130253330479E-002   2.8217763199298463E-004   2.0280174448076643E-002   2.9829497597840614E-002  -136.06400428231572        418.90537731410927        990.15561337559723     
  -2.3170164020548853E-003  -4.7533214742350276E-003  -4.2639452009120057E-003   6.7929271099575143E-003  -26.926659660523828       -101.79677073262512       -133.05129658726412     
   4.7702395743201339E-003  -1.2229275817743721E-003  -1.4822189520749591E-002   1.5618836053166491E-002  -42.055033301079384       -183.27190996584181       -815.89606764611472     
  -1.8054349307892520E-003  -7.5265993038336858E-004   4.4190545879233024E-003   4.8326116863622176E-003   39.377048588672281       -6.7930570088236077        312.92630577615580     
   1.2498385818431497E-003   1.7535112506491812E-003   2.2690243195195636E-002   2.2792192400994223E-002   108.96586492209703        98.431877578231223        577.16947546730682     
  -1.2679493853779856E-002  -5.0258829184025317E-003  -1.2123352444941185E-002   1.8248417410882317E-002  -221.80386404725672       -52.495113972930412       -482.40979472545769     
  -1.4137822813922826E-002  -9.4383269461579666E-003  -1.0400693393229580E-003   1.7030613426739741E-002  -67.353722720369248       -441.09201942028022       -263.52006439240250     
   4.2405961766619048E-003  -7.8446771987689158E-003   7.0828155371457178E-003   1.1388059194596649E-002   51.916731291882812       -400.86941522375031        150.09877108325006     
