# wx wy wz w Lxx Lyy Lzz
  -6.7328962465344243E-003  -2.3579500362551952E-004   1.1943233584786325E-002   1.3712341871872220E-002  -219.32527480656864       -14.260034152531578        57.645912582474089     
  -2.8632798456330886E-003  -9.8261786340063666E-004   6.4527362749614708E-003   7.1275321657700234E-003  -66.769836957659948       -96.012130136098861        47.896203804225770     
  -3.3240649096873895E-003  -4.1629102142333972E-003   3.6121839418803109E-003   6.4363888792988390E-003  -216.51502831094280       -444.16113647237893       -22.621717102782579     
  -7.3668492152114337E-003   6.3752048100593586E-005   1.3992637470464774E-002   1.5813552259475196E-002  -278.74908198027646       -108.43390722187112        61.328556192119720     
   4.6235405208229774E-003   1.9153289696298946E-003   3.3010261238092600E-004   5.0154341531213663E-003   586.03924042320784        287.70652571599913        237.71427146569792     
   9.4210343791122642E-003   2.6433273510097655E-003  -2.8434914478854087E-002   3.0071372261284608E-002  -100.39968211185507        558.22350161749875       -363.33142813363696     
  -3.3260538284843964E-003  -4.1994699358800288E-003   1.4605304565797048E-002   1.5556770335517202E-002   204.61593667661401       -804.89295909456928        277.64813554210343     
  -1.8542832113357680E-002  -3.0488982754326827E-003   2.7984855949521895E-002   3.3708820299642589E-002  -714.28073886762786       -811.10732273951805        48.918965040430287     
   1.2324977341476202E-002   1.0684720556503029E-003  -2.6116830911894057E-002   2.8898712010781247E-002   48.388854670406907        546.43561942710551       -336.87693082548799     
  -3.9691947211093724E-003   2.3119452090388411E-003   1.6432961370089236E-002   1.7062878326194714E-002   301.83515478259835        261.68494318569469        288.97986397805772     
   2.9838919995835555E-003   2.5095095422958099E-005   2.7752930248047841E-002   2.7912889112057207E-002  -147.94556647500011       -19.148342690124867        397.76746153770995     
  -8.8479246657475561E-003   5.3665573255015793E-004   2.8305412205746380E-002   2.9660919244069949E-002   440.90180704072492        181.80656611862491        522.16139648651551     
  -7.9960999164161643E-004  -4.1707734145132319E-003   2.4652046300190369E-003   4.9103931494138804E-003   24.054044687383787       -640.26697065738699        30.580884259738220     
   2.1859705751749304E-003   1.6666950969743213E-003  -3.6395784306063991E-003   4.5610164496901560E-003   144.19141806795793        277.62458419472790        7.7572095367998344     
  -1.0267820536168001E-002  -1.3407471868717182E-003   2.6183374691425235E-002   2.8156612932198101E-002  -453.31019993380158       -142.97698324387434        144.65429856772107     
   4.3809405171874646E-004  -4.6441514621971996E-004   7.0851422081435050E-003   7.1138490239677039E-003   353.08128910666784       -102.85763895447572        167.35400391348173     
   6.9527337025960829E-003   3.0074674481898734E-003  -3.6420125502551678E-002   3.7199608976610926E-002  -103.03920668892535        739.23744229817305       -408.92269391055612     
   1.3913784554263602E-003  -5.7205983063929225E-004   7.4537877260703357E-004   1.6789210734006730E-003   276.16660565628416       -111.54553319090263        62.058379162518676     
  -4.0849928672726712E-003  -1.0783360378002356E-003   1.8692494985472662E-002   1.9164011691658087E-002  -2.2294049315133804       -301.98994338299320        197.09968892909745     
   8.0393725893311285E-003   1.5460304467235571E-003  -2.4788076057079132E-002   2.6104988725985396E-002   374.18096387500981        486.54165333851415       -186.12494244210762     
  -4.2677790652244710E-004   1.0149281118935357E-003  -9.6042986330917516E-003   9.6672007679273701E-003  -439.44146843872102        272.25526439146398       -203.75641446428068     
   2.5002919974565169E-004   4.9292467444839710E-003  -2.0431704370601296E-004   4.9398110817196281E-003   5.7340389840245010        134.98719773626797       -7.2026078399019147     
  -6.7917729586114625E-003   1.5167890153437557E-003   2.3833500317896942E-002   2.4828704481740224E-002  -82.769430202120589        214.14712513424647        221.14212403485593     
   5.6686760640503112E-003  -3.6294848698641274E-003  -1.9599724069539057E-002   2.0723325803108397E-002  -76.489781350493701       -606.49633946756580       -219.03221960706784     
   1.4994910083352943E-002  -3.1809481139282378E-003  -4.0994865652821288E-002   4.3766936941076993E-002   679.06546515634398       -468.69604403764816       -236.32066031668811     
